date,strategy_1,strategy_2,strategy_3
2024-11-06,1089.3029362086909,1158.3624146278426,1281.9319748488288
2024-11-07,1096.394820939293,1179.391871930979,1308.5265007982568
2024-11-08,1095.7980131217344,1166.2412895338286,1305.1083103313958
2024-11-11,1106.3607859856377,1176.9281452201324,1382.815375200406
2024-11-12,1091.8462597369692,1163.1614123267143,1358.621704523819
2024-11-13,1092.1063258948868,1169.0711673142628,1386.605334691948
2024-11-14,1092.204483944478,1164.3353944406845,1348.9949088627789
2024-11-15,1083.4023020575405,1149.6264277216817,1358.5918271410033
2024-11-18,1083.9250389588801,1149.9862875712388,1352.8010948167062
2024-11-19,1082.101140716749,1149.6390460121002,1371.8871232081078
2024-11-20,1083.378954252994,1151.9730004709188,1391.1209778373213
2024-11-21,1094.7330804210276,1163.5824338506598,1429.8091307205957
2024-11-22,1105.4681001154822,1163.4228395820548,1436.8084342492966
2024-11-25,1107.8227094707902,1160.1637393636502,1407.5237567877193
2024-11-26,1104.9225497002612,1159.9539534197702,1394.9060009555164
2024-11-27,1100.9504006895104,1158.3081981919347,1407.0293477373953
2024-11-28,1102.626497640064,1156.9449415440745,1408.4183511931922
2024-11-29,1108.6947088213003,1165.4443746087836,1427.2248888402823
2024-12-02,1112.1946301830296,1173.9808243620928,1427.5263838584551
2024-12-03,1110.0404859179994,1174.0062552532124,1430.9400251723068
2024-12-04,1111.5537955218833,1176.8685879481907,1463.1039766308327
2024-12-05,1110.404221734444,1176.6816171168296,1445.232883190619
2024-12-06,1108.7923696023158,1179.7903847365378,1472.9990614836352
2024-12-09,1113.3986300755273,1205.1393101747672,1487.5549145065334
2024-12-10,1108.708635211838,1185.7134036106336,1464.3767082910372
2024-12-11,1110.5298751516218,1188.512347161794,1489.364238542099
2024-12-12,1106.8376279819554,1187.4995490252702,1488.5268586038173
2024-12-13,1099.8933343313329,1176.4570411087443,1483.8689482923564
2024-12-16,1100.1869263579067,1178.1657468618714,1522.339437935184
2024-12-17,1093.9115893895614,1178.1152689735793,1525.2217170316421
2024-12-18,1096.0745607460963,1186.3684161985009,1507.1499776398573
2024-12-19,1076.1119729830802,1166.48362591691,1451.3034312959257
2024-12-20,1078.8240525498018,1160.5796802417922,1458.4807434501456
2024-12-23,1078.1678982690637,1164.5857861711065,1442.4807164880358
2024-12-24,1082.8000447704942,1174.9646108676682,1478.529140122681
