date,sp500_ew,msci_europe,msci_em,msci_ageing,euro_govbond_1_5y
2024-07-16,5.54436083325686,32.435,40.14,8.973893043957053,141.25
2024-07-17,5.546567431654019,32.265,39.55,8.982620462649722,141.24
2024-07-18,5.551826771292218,32.175,39.26,8.928411114170338,141.4
2024-07-19,5.470710122276364,31.955,38.96,8.810028730348444,141.35
2024-07-22,5.50228156488199,32.26,39.065,8.877463495270455,141.22
2024-07-23,5.511770574140632,32.275,39.11,8.961310017509907,141.29
2024-07-24,5.485198837531137,32.1,38.705,8.960019374481039,141.44
2024-07-25,5.486324649575802,31.87,38.41,8.941423367760974,141.44
2024-07-26,5.520721009486967,32.15,38.58,8.96309477756286,141.6
2024-07-29,5.54521346704871,32.08,38.545,8.946864081708105,141.6
2024-07-30,5.5744535367545085,32.175,38.54,8.98320665742025,141.76
2024-07-31,5.634134577367205,32.475,39.35,9.055612009237874,141.93
2024-08-01,5.550867848206839,32.02,38.98,8.833246918728571,141.98
2024-08-02,5.358898514851485,31.23,37.52,8.517920792079208,142.22
2024-08-05,5.27912568480643,30.54,36.355,8.274692750182616,142.16
2024-08-06,5.320556907593779,30.66,36.655,8.297770128087832,142.16
2024-08-07,5.376447266733814,31.125,37.475,8.433745307206298,142.02
2024-08-08,5.3781879007144155,31.175,37.8,8.484962676314343,142.12
2024-08-09,5.378977464272628,31.345,37.915,8.555870282154636,142.22
2024-08-12,5.3585212697831865,31.32,38.175,8.524124050864513,142.11
2024-08-13,5.378956140829694,31.51,38.29,8.617535252911209,142.34
2024-08-14,5.385288775880857,31.65,38.01,8.641618234653105,142.35
2024-08-15,5.480211785616625,32.085,38.61,8.802776866283839,142.14
2024-08-19,5.473355272891294,32.045,39.1,8.913505638249887,142.12
2024-08-20,5.448650539083558,31.87,38.7,8.902564690026953,142.25
2024-08-21,5.477504932735426,31.975,38.75,8.976532735426007,142.37
2024-08-22,5.481601151907847,32.095,38.485,8.954538228941685,142.33
2024-08-23,5.509061930294906,32.245,38.755,9.115862600536193,142.45
2024-08-27,5.511064914163089,32.285,38.5,9.149552932761086,142.31
2024-08-28,5.526277877697841,32.4,38.52,9.186740107913668,142.39
2024-08-29,5.586027985916764,32.66,38.845,9.239711113117272,142.52
2024-09-02,5.621966534188421,32.685,38.705,9.237317992954566,142.38
2024-09-03,5.595118953183011,32.375,38.32,9.153835914153762,142.4
2024-09-05,5.482863411341134,31.865,37.98,9.092647389738973,142.77
2024-09-06,5.442557926554182,31.535,37.415,8.951536587566542,142.74
2024-09-09,5.508271161863331,31.805,37.735,9.042236722856625,142.85
2024-09-10,5.516942735275433,31.625,37.62,8.98295488701334,143.04
2024-09-11,5.454937725910454,31.63,37.595,8.91664540005449,143.06
2024-09-12,5.523415477695503,31.885,37.685,9.06842672024562,140.96
2024-09-13,5.568793878656555,32.105,37.9,9.190494312026004,140.93
2024-09-16,5.579284225655767,32.04,37.77,9.239446640316206,141.02
2024-09-17,5.636193647079997,32.16,37.98,9.284117699991002,140.87
2024-09-18,5.614327576902321,31.99,37.845,9.254222881813275,140.95
2024-09-19,5.6463843741600215,32.435,38.38,9.405681390556401,140.95
2024-09-20,5.61804403332736,31.935,38.43,9.299757435943379,140.89
2024-09-23,5.662321544276458,32.09,38.885,9.458220842332615,141.09
2024-09-24,5.66531037567084,32.355,39.79,9.401835992844365,141.33
2024-09-25,5.641210968379447,32.325,39.86,9.329211731943946,141.2
2024-09-26,5.651200787401574,32.715,40.945,9.446675912670006,141.39
2024-09-27,5.707155065842515,32.895,41.155,9.544869434739764,141.41
2024-09-30,5.680508801868152,32.585,40.69,9.458188252200467,141.34
2024-10-01,5.714218577753682,32.445,40.555,9.405256618776543,141.46
2024-10-02,5.723608420099592,32.49,41.54,9.387198279764599,141.49
2024-10-03,5.7030091560148675,32.19,41.23,9.202623515547096,141.4
2024-10-04,5.7460173104956285,32.315,41.73,9.353634293002916,141.18
2024-10-07,5.745122744669219,32.37,42.02,9.304976763258612,141.11
2024-10-08,5.742249180327868,32.195,41.14,9.228295081967213,141.07
2024-10-09,5.782151750617058,32.41,41.11,9.283654813054207,141.01
2024-10-10,5.7945994513031565,32.355,41.12,9.254999304983997,141.23
2024-10-11,5.833526378348726,32.52,41.34,9.401976776081193,141.15
2024-10-14,5.879482858190485,32.71,41.395,9.462956732972776,141.17
2024-10-15,5.914209733700642,32.425,40.685,9.539919191919191,141.19
2024-10-16,5.917919160298315,32.395,41.03,9.457547647546265,141.31
2024-10-17,5.941645739082264,32.615,40.915,9.4893361647124,141.42
2024-10-18,5.93176057426836,32.705,41.32,9.507412111172465,141.52
2024-10-21,5.903728155339807,32.485,40.915,9.391339805825243,141.35
2024-10-22,5.895679262758173,32.41,41.0,9.40025956284153,141.31
2024-10-23,5.872817697801688,32.29,40.955,9.31160374733327,141.46
2024-10-24,5.874960931005819,32.34,40.66,9.327331670822943,141.51
2024-10-25,5.879157185212638,32.34,40.85,9.341334198091356,141.4
2024-10-28,5.87785927672956,32.46,40.91,9.339551886792453,141.54
2024-10-29,5.87407445923461,32.265,40.875,9.354004899242005,141.36
2024-10-30,5.823884514048826,31.86,40.27,9.331923537540305,141.12
2024-10-31,5.788870807681706,31.475,39.84,9.161218414040247,141.14
2024-11-01,5.7900939634484025,31.825,40.28,9.20175143068119,141.22
2024-11-04,5.776866001654869,31.69,40.34,9.237982440011033,141.15
2024-11-05,5.783140622140897,31.715,40.505,9.327357502287283,141.17
2024-11-06,6.022457680835199,31.565,40.635,9.462232941834452,141.25
2024-11-07,6.015820992225102,31.73,41.33,9.636732228804146,141.26
2024-11-08,6.087987497667474,31.53,40.58,9.662419761149469,141.36
2024-11-11,6.177216632250798,31.875,40.705,9.811193213816408,141.49
2024-11-12,6.138911042078508,31.23,40.025,9.560549985879694,141.49
2024-11-13,6.183738142573133,31.24,39.915,9.479446890088044,141.46
2024-11-14,6.155695156695157,31.425,39.875,9.465674264007598,141.71
2024-11-15,6.084072763494925,31.19,39.885,9.28530286500332,141.61
2024-11-18,6.0858912350221726,31.195,40.135,9.256744975941126,141.54
2024-11-19,6.077065974516281,31.145,40.16,9.189811703633788,141.64
2024-11-20,6.082030731290904,31.065,40.14,9.283825761168545,141.67
2024-11-21,6.221495464527833,31.23,40.245,9.436796046977944,141.69
2024-11-22,6.317827781510991,31.62,40.595,9.494184266103485,141.98
2024-11-25,6.336191823899371,31.6,40.36,9.640208690680389,141.91
2024-11-26,6.329544917032233,31.45,40.25,9.600389090215526,141.79
2024-11-27,6.2956758992805755,31.365,39.89,9.583987145020826,141.88
2024-11-28,6.306832369942198,31.51,39.765,9.596700227423483,142.04
2024-11-29,6.319719999999999,31.695,40.07,9.73191111111111,142.18
2024-12-02,6.3317195389158805,31.915,40.425,9.704939506525674,142.3
2024-12-03,6.2922000190313065,32.03,40.445,9.636023884289656,142.3
2024-12-04,6.278486203615604,32.195,40.46,9.680591817316841,142.26
2024-12-05,6.23317362554317,32.27,40.625,9.665516720196486,142.28
2024-12-06,6.223902725208176,32.32,40.655,9.57036572672218,142.32
2024-12-09,6.202934609552692,32.39,41.54,9.6445121777862,142.37
2024-12-10,6.216606498194945,32.215,40.995,9.546281588447654,142.45
2024-12-11,6.203687821612348,32.305,41.11,9.610491709548313,142.49
2024-12-12,6.2085057800706975,32.235,40.97,9.47798796216681,142.25
2024-12-13,6.163620262807084,32.115,40.88,9.299497238621216,142.15
2024-12-16,6.151551893434824,32.07,40.735,9.399142721217888,142.15
2024-12-17,6.10113928877872,31.95,40.555,9.272883496996853,142.29
2024-12-18,6.116463292117466,32.01,40.615,9.312546126352398,142.26
2024-12-19,5.955058203049603,31.47,40.35,8.956289808917198,142.18
2024-12-20,6.012125467446544,31.28,40.255,9.054042813309042,142.25
2024-12-23,6.0015062469966365,31.19,40.22,9.100126381547334,142.17
2024-12-24,6.028531788015773,31.37,40.675,9.098589496970279,142.19
2024-12-27,6.031936319171383,31.46,40.075,9.096159969310445,142.19
2024-12-30,5.9932924473911795,31.32,39.855,9.017978524070339,142.3
2024-12-31,6.022874915483435,31.495,39.95,9.111652661064426,142.3
2025-01-02,6.095325864588408,31.745,40.505,9.132737457379445,142.27
2025-01-03,6.069027939464494,31.575,40.505,9.111976135040747,142.17
2025-01-06,6.08743031761309,31.91,40.56,9.164877526467757,142.01
2025-01-07,6.065793983944288,31.96,40.315,9.177710368507594,142.05
2025-01-08,6.048010854816825,31.95,40.155,9.05164857530529,142.11
2025-01-09,6.070753932802486,32.1,40.155,9.128234608661874,142.03
2025-01-10,6.023372120265521,31.85,39.725,8.854571456462319,141.91
2025-01-13,6.053553299492386,31.675,39.53,8.896329558766105,141.81
2025-01-14,6.063058115843602,31.63,39.675,8.861711700785875,141.84
2025-01-15,6.1467664496063765,32.08,40.07,9.044085916998737,142.09
2025-01-16,6.182489609632937,32.405,40.24,9.118637356768305,142.19
2025-01-17,6.23485493136014,32.595,40.6,9.233861600623115,142.16
